,Training datasets,
Protein_ID,Cysteine_ positions,Pos & Neg samples
sp|Q9Z2X1|,267,SNO
sp|Q9Z2X1|,290,SNO
sp|Q9DCS3|,169,SNO
sp|Q9DCS3|,263,SNO
sp|Q9DCS3|,345,SNO
tr|F6V8A7|,201,SNO
sp|P05201|,160,SNO
sp|P05201|,253,SNO
sp|P05201|,391,SNO
sp|Q9DCS1|,41,SNO
sp|P05202|,106,SNO
sp|P05202|,187,SNO
sp|P05202|,212,SNO
sp|P05202|,295,SNO
sp|P05202|,382,SNO
sp|Q91Z83|,695,SNO
sp|Q91Z83|,905,SNO
sp|Q91Z83|,947,SNO
sp|Q91Z83|,1340,SNO
sp|Q91Z83|,1411,SNO
sp|P11926|,360,SNO
sp|Q13951|,25,SNO
sp|Q9NZB2|,14,SNO
sp|P97300|,217,SNO
sp|Q8CC88|,161,SNO
sp|Q8CC88|,857,SNO
sp|Q8CC88|,1064,SNO
sp|Q8CC88|,1415,SNO
sp|P30681|,23,SNO
sp|Q9ESW4|,34,SNO
sp|Q9ESW4|,407,SNO
sp|Q9ET80|,29,SNO
sp|Q9D7B6|,157,SNO
sp|Q9D7B6|,349,SNO
sp|P39023|,114,SNO
sp|Q3UHX9|,140,SNO
sp|O14744|,22,SNO
sp|O14745|,15,SNO
sp|O14745|,16,SNO
sp|O14745|,206,SNO
sp|Q76KJ5|,107,SNO
sp|Q91V76|,187,SNO
sp|Q91V76|,226,SNO
sp|Q91V76|,249,SNO
sp|P10605|,93,SNO
sp|P10605|,211,SNO
sp|P10605|,319,SNO
sp|Q92769|,262,SNO
sp|Q92769|,274,SNO
sp|P97311|,301,SNO
sp|Q9DCZ1|,186,SNO
sp|Q9DCZ1|,316,SNO
sp|Q60714|,80,SNO
sp|Q60714|,170,SNO
sp|Q60714|,406,SNO
sp|P70296|,133,SNO
sp|P70296|,168,SNO
sp|P18572|,203,SNO
sp|P97315|,25,SNO
sp|P97315|,58,SNO
sp|P97315|,122,SNO
sp|P97315|,167,SNO
sp|Q9NR33|,84,SNO
sp|Q9NR33|,85,SNO
sp|P23919|,31,SNO
sp|O35678|,32,SNO
sp|A2ATU0|,393,SNO
sp|Q6RJR6|,47,SNO
sp|Q9JIS5|,198,SNO
sp|P29218|,184,SNO
sp|Q8R1H0|,34,SNO
sp|Q8R1H0|,68,SNO
sp|O70433|,71,SNO
sp|O70433|,132,SNO
sp|O70433|,254,SNO
sp|Q8R1G2|,198,SNO
sp|Q8R1G2|,222,SNO
sp|Q761V0|,333,SNO
sp|Q96KR1|,525,SNO
sp|Q8NBU5|,137,SNO
sp|Q9CQW1|,66,SNO
sp|Q9CQW5|,57,SNO
sp|Q9CQW5|,75,SNO
sp|Q8K0Z7|,231,SNO
sp|Q9DCX2|,101,SNO
sp|O70439|,28,SNO
sp|P27005|,42,SNO
sp|Q9Y490|,29,SNO
sp|Q9Y490|,286,SNO
sp|Q9Y490|,1939,SNO
sp|Q8R1F1|,154,SNO
sp|P29680|,50,SNO
sp|P19880|,598,SNO
sp|Q9EST5|,27,SNO
sp|Q9EST5|,123,SNO
sp|Q9CR76|,156,SNO
sp|Q9CQV5|,120,SNO
sp|P50247|,195,SNO
sp|P50247|,228,SNO
sp|O35215|,57,SNO
sp|Q8BLK3|,111,SNO
sp|Q8BLK3|,239,SNO
sp|Q91V41|,26,SNO
sp|Q91V41|,40,SNO
sp|Q7TNV0|,165,SNO
sp|Q3UMB9|,936,SNO
sp|P08752|,66,SNO
sp|P08752|,140,SNO
sp|P08752|,326,SNO
sp|Q9DCW4|,42,SNO
sp|Q9DCW4|,131,SNO
sp|Q08163|,92,SNO
sp|P00390|,107,SNO
sp|P00390|,278,SNO
sp|P00390|,377,SNO
sp|P00390|,484,SNO
sp|Q922B1|,114,SNO
sp|Q922B1|,184,SNO
sp|Q922B1|,203,SNO
sp|Q922B1|,212,SNO
sp|Q922B1|,244,SNO
sp|Q922B1|,264,SNO
sp|Q8BH95|,111,SNO
sp|Q8BH95|,225,SNO
sp|Q91YR7|,739,SNO
sp|Q91YR7|,837,SNO
sp|Q5U3K5|,501,SNO
sp|Q61151|,106,SNO
sp|Q8BGX2|,52,SNO
sp|Q922B2|,130,SNO
sp|Q922B2|,267,SNO
sp|Q9DCN1|,177,SNO
sp|P12382|,708,SNO
sp|Q3UHL1|,5,SNO
sp|P25205|,148,SNO
sp|P25686|,321,SNO
sp|Q39237|,260,SNO
sp|Q39237|,266,SNO
sp|P25688|,95,SNO
sp|P25688|,141,SNO
sp|P52840|,82,SNO
sp|P52840|,283,SNO
sp|Q6ZMU5|,144,SNO
sp|Q9CQL4|,93,SNO
sp|Q8BH86|,54,SNO
sp|Q8BH86|,252,SNO
sp|Q91YQ5|,478,SNO
sp|Q91YQ5|,546,SNO
sp|P35487|,262,SNO
sp|P35486|,41,SNO
sp|P35486|,91,SNO
sp|P35486|,94,SNO
sp|P35486|,100,SNO
sp|P35486|,101,SNO
sp|P35486|,181,SNO
sp|P35486|,218,SNO
sp|P35486|,222,SNO
sp|P35486|,273,SNO
sp|Q9DCM0|,34,SNO
sp|Q9DCM0|,98,SNO
sp|Q9DCM0|,170,SNO
sp|Q9DCM0|,189,SNO
sp|Q68FL6|,789,SNO
sp|O60610|,1227,SNO
sp|Q80XN0|,86,SNO
sp|Q80XN0|,115,SNO
sp|Q80XN0|,209,SNO
sp|Q80XN0|,288,SNO
sp|Q8NBI5|,226,SNO
sp|Q68FL4|,400,SNO
sp|Q01995|,38,SNO
sp|Q9DCM2|,176,SNO
sp|Q15274|,96,SNO
sp|P23492|,142,SNO
sp|Q91YP0|,273,SNO
tr|F6UFG6|,23,SNO
sp|Q9D6S7|,154,SNO
sp|Q9JIF7|,248,SNO
sp|P53701|,66,SNO
sp|P53702|,39,SNO
sp|P53702|,70,SNO
sp|Q62465|,63,SNO
sp|Q62465|,99,SNO
sp|Q9JIF0|,272,SNO
sp|Q9JIF0|,364,SNO
sp|Q9DCL9|,63,SNO
sp|Q9DCL9|,281,SNO
sp|Q9QVP4|,43,SNO
sp|Q9QVP4|,53,SNO
sp|Q9QVP4|,164,SNO
sp|Q9QZX7|,113,SNO
sp|Q8R0Y6|,17,SNO
sp|Q8R0Y6|,404,SNO
sp|Q8R0Y6|,587,SNO
sp|Q8R0Y6|,662,SNO
sp|O55234|,111,SNO
sp|Q8R0Y8|,235,SNO
sp|Q80XM9|,95,SNO
sp|Q9CQJ8|,4,SNO
sp|Q9CQJ8|,31,SNO
sp|Q9CQJ8|,42,SNO
sp|Q9CQJ8|,103,SNO
sp|Q39258|,201,SNO
sp|Q9D6R2|,127,SNO
sp|Q9D6R2|,222,SNO
sp|Q9D6R2|,331,SNO
sp|Q9D6R2|,351,SNO
sp|Q9D6R2|,359,SNO
sp|Q8BH61|,153,SNO
sp|P03899|,39,SNO
sp|Q8BH64|,356,SNO
sp|P59017|,136,SNO
sp|P12367|,327,SNO
sp|P13221|,83,SNO
sp|Q8BY89|,401,SNO
sp|P14550|,134,SNO
sp|P60484|,83,SNO
sp|Q96T51|,184,SNO
sp|P48776|,266,SNO
sp|P48774|,38,SNO
sp|Q80XL6|,546,SNO
sp|P00397|,498,SNO
sp|P04797|,23,SNO
sp|Q9D6Y9|,309,SNO
sp|Q9D6Y9|,473,SNO
sp|Q9CR24|,71,SNO
sp|Q9D6Y7|,107,SNO
sp|Q9ET01|,450,SNO
sp|Q4G0N4|,393,SNO
sp|P56399|,219,SNO
sp|Q9CQQ7|,239,SNO
sp|P14115|,144,SNO
tr|C9J4A7|,135,SNO
sp|Q9NYY3|,26,SNO
sp|Q9CR21|,140,SNO
sp|P37238|,139,SNO
sp|Q8BLF1|,345,SNO
sp|Q9NYY8|,377,SNO
sp|Q8BPN8|,1504,SNO
sp|Q9CZB0|,70,SNO
sp|Q9CZB0|,107,SNO
sp|Q99LD8|,262,SNO
sp|P55072|,522,SNO
sp|Q99PL5|,1136,SNO
sp|Q99PL5|,1198,SNO
sp|Q02817|,263,SNO
sp|Q9Z2I0|,329,SNO
sp|P61759|,8,SNO
sp|P61759|,112,SNO
sp|Q922E4|,324,SNO
sp|Q8CG76|,222,SNO
sp|P70695|,282,SNO
sp|P70695|,331,SNO
sp|P70694|,98,SNO
sp|P70694|,188,SNO
sp|P70694|,193,SNO
sp|P70694|,206,SNO
sp|Q9Z2I8|,256,SNO
sp|Q9Z2I2|,23,SNO
sp|P70698|,30,SNO
sp|P70698|,216,SNO
sp|Q9JIK5|,450,SNO
sp|Q9JIK5|,585,SNO
sp|Q9JIK5|,754,SNO
sp|O55222|,42,SNO
sp|O55222|,239,SNO
sp|O55222|,346,SNO
sp|O55222|,428,SNO
tr|B1AU76|,369,SNO
sp|P61750|,62,SNO
sp|Q9Z2I9|,152,SNO
sp|Q9Z2I9|,158,SNO
sp|Q9Z2I9|,270,SNO
sp|Q9Z2I9|,384,SNO
sp|Q9Z2I9|,430,SNO
sp|O55229|,72,SNO
sp|P60422|,6,SNO
sp|P60422|,188,SNO
sp|Q8K0S0|,261,SNO
sp|Q99LC5|,53,SNO
sp|Q99LC5|,60,SNO
sp|Q99LC5|,68,SNO
sp|Q99LC5|,109,SNO
sp|Q99LC5|,155,SNO
sp|Q99LC3|,67,SNO
sp|Q99LC3|,112,SNO
sp|Q99LC3|,183,SNO
sp|Q9ESM3|,291,SNO
sp|Q7Z6M4|,219,SNO
sp|Q9H2C0|,464,SNO
tr|Q62029|,339,SNO
sp|Q9SKP6|,203,SNO
sp|Q99LB7|,382,SNO
sp|Q99LB7|,498,SNO
sp|Q99LB7|,672,SNO
sp|Q8R5G7|,831,SNO
sp|Q9CR00|,59,SNO
sp|Q9CR00|,81,SNO
sp|Q9CR00|,215,SNO
sp|Q8BGZ1|,87,SNO
sp|Q09429|,717,SNO
sp|Q9P1F3|,39,SNO
sp|Q00610|,736,SNO
sp|P61765|,110,SNO
sp|P48347|,98,SNO
sp|Q8K4Z3|,152,SNO
sp|Q8K4Z3|,277,SNO
sp|P55096|,24,SNO
sp|P61769|,45,SNO
sp|Q91Z53|,29,SNO
sp|Q91Z53|,57,SNO
sp|Q91Z53|,123,SNO
sp|Q91Z53|,288,SNO
sp|Q99LB2|,89,SNO
sp|Q99LB2|,210,SNO
sp|Q91YT0|,125,SNO
sp|Q91YT0|,142,SNO
sp|Q91YT0|,187,SNO
sp|Q91YT0|,206,SNO
sp|Q91YT0|,238,SNO
sp|Q91YT0|,255,SNO
sp|Q91YT0|,286,SNO
sp|Q91YT0|,425,SNO
sp|Q9CQN1|,135,SNO
sp|Q9CQN1|,263,SNO
sp|P07814|,92,SNO
sp|P07814|,856,SNO
sp|P52825|,84,SNO
sp|P52825|,489,SNO
sp|P52825|,512,SNO
sp|P52825|,535,SNO
sp|P52825|,639,SNO
sp|P52825|,643,SNO
sp|Q61184|,317,SNO
sp|Q6P3A8|,175,SNO
sp|Q6P3A8|,297,SNO
sp|Q6P3A8|,380,SNO
sp|Q8BGY2|,38,SNO
sp|O48917|,357,SNO
sp|Q9JII6|,46,SNO
sp|Q9JII6|,260,SNO
sp|Q9JII5|,124,SNO
sp|Q13907|,172,SNO
sp|Q80Y14|,63,SNO
sp|Q9CQM9|,148,SNO
sp|Q6UWY5|,111,SNO
sp|O88587|,200,SNO
sp|O88587|,234,SNO
sp|Q9H2A2|,247,SNO
sp|Q62523|,376,SNO
sp|Q96LA8|,221,SNO
sp|Q96LA8|,229,SNO
sp|Q64702|,4,SNO
sp|Q5VYK3|,1257,SNO
sp|Q16623|,145,SNO
sp|Q9CZW5|,179,SNO
sp|Q9WTP7|,85,SNO
sp|P10599|,62,SNO
sp|P70663|,501,SNO
sp|Q99LY9|,43,SNO
sp|Q99LY9|,66,SNO
sp|P11442|,870,SNO
sp|Q9WTP6|,208,SNO
sp|Q9WTP6|,232,SNO
sp|Q94AR8|,376,SNO
sp|O08553|,439,SNO
sp|Q9D7N6|,138,SNO
sp|Q9D7N3|,324,SNO
sp|P48725|,2650,SNO
sp|P00784|,158,SNO
tr|Q6KBB1|,87,SNO
tr|Q6KBB1|,112,SNO
sp|Q61686|,160,SNO
sp|P55036|,37,SNO
sp|P55036|,87,SNO
sp|P13639|,67,SNO
sp|Q6PDY2|,169,SNO
sp|Q6PDY2|,225,SNO
sp|Q9BSK1|,152,SNO
sp|Q99LX0|,46,SNO
sp|Q99LX0|,53,SNO
sp|Q8K1I3|,109,SNO
sp|Q86VP6|,571,SNO
sp|Q86VP6|,1007,SNO
sp|Q86VP6|,1134,SNO
sp|Q05962|,160,SNO
sp|Q05962|,257,SNO
sp|O75380|,27,SNO
sp|Q9SHE8|,130,SNO
sp|Q5UIP0|,312,SNO
sp|Q6NXE6|,484,SNO
sp|Q9CZU6|,101,SNO
sp|Q9CZU6|,211,SNO
sp|Q9CZU6|,359,SNO
sp|Q16643|,96,SNO
sp|Q9C0B1|,104,SNO
sp|Q811U4|,681,SNO
sp|P47860|,81,SNO
sp|P56375|,29,SNO
sp|O75369|,450,SNO
sp|O75369|,660,SNO
sp|O75369|,1617,SNO
sp|O75369|,2537,SNO
sp|P00329|,98,SNO
sp|P00329|,101,SNO
sp|P00329|,104,SNO
sp|P00329|,112,SNO
sp|P00329|,171,SNO
sp|P00329|,175,SNO
sp|P00329|,196,SNO
sp|P00329|,212,SNO
sp|O08573|,73,SNO
sp|O08573|,138,SNO
sp|O08573|,258,SNO
sp|O08573|,325,SNO
sp|Q8BHP7|,56,SNO
sp|P56382|,19,SNO
sp|Q13144|,618,SNO
sp|P47857|,114,SNO
sp|P47857|,170,SNO
sp|P47857|,334,SNO
sp|P47857|,351,SNO
sp|P47857|,709,SNO
sp|P56380|,6,SNO
sp|P56380|,123,SNO
sp|P70670|,354,SNO
sp|P70670|,695,SNO
sp|P70670|,1820,SNO
sp|P70670|,1866,SNO
sp|Q16658|,397,SNO
sp|Q9UNM6|,114,SNO
sp|Q9UNM6|,182,SNO
tr|Q5XJF6|,66,SNO
sp|Q3V384|,100,SNO
sp|P68368|,54,SNO
sp|Q78IK4|,152,SNO
sp|Q16665|,520,SNO
sp|Q16665|,800,SNO
sp|Q13155|,143,SNO
sp|Q14003|,370,SNO
sp|P55060|,344,SNO
sp|P55060|,387,SNO
sp|P56391|,30,SNO
sp|P56391|,54,SNO
sp|P56391|,65,SNO
sp|Q9P2E9|,892,SNO
sp|Q9P2E9|,1216,SNO
sp|Q9P2E9|,1323,SNO
sp|P43006|,373,SNO
sp|P43006|,561,SNO
sp|P21291|,40,SNO
tr|C9J4Z3|,15,SNO
tr|C9J4Z3|,18,SNO
sp|Q9CW46|,222,SNO
sp|Q14008|,427,SNO
sp|Q91VH6|,58,SNO
sp|Q3LXA3|,404,SNO
sp|Q61233|,31,SNO
sp|Q61233|,336,SNO
sp|Q61234|,220,SNO
sp|Q05920|,131,SNO
sp|Q05920|,663,SNO
sp|Q05920|,752,SNO
sp|P63085|,63,SNO
sp|Q9WTL7|,56,SNO
sp|Q9WTL7|,171,SNO
sp|Q9WTL7|,213,SNO
sp|P63086|,164,SNO
sp|O08992|,119,SNO
sp|O08992|,240,SNO
sp|Q02413|,77,SNO
sp|Q13162|,148,SNO
sp|Q6PIE5|,462,SNO
sp|Q6PIE5|,515,SNO
sp|Q6PIE5|,553,SNO
sp|Q14498|,478,SNO
sp|P48768|,537,SNO
sp|Q6A0A9|,917,SNO
sp|Q9STY6|,39,SNO
sp|Q8K1M6|,351,SNO
sp|Q8K1M6|,367,SNO
sp|Q8K1M6|,650,SNO
sp|P33267|,267,SNO
sp|P33267|,436,SNO
sp|P33267|,487,SNO
sp|Q8BUN5|,121,SNO
sp|O08997|,41,SNO
sp|Q99832|,364,SNO
sp|Q99832|,370,SNO
sp|Q99832|,450,SNO
sp|Q9D826|,299,SNO
sp|Q9D826|,319,SNO
sp|Q9D826|,333,SNO
sp|P77252|,9,SNO
sp|Q99836|,113,SNO
sp|Q99836|,216,SNO
sp|Q96327|,178,SNO
sp|Q78J03|,132,SNO
sp|Q78J03|,162,SNO
sp|Q61699|,642,SNO
sp|P99024|,239,SNO
sp|Q64727|,545,SNO
sp|P99029|,96,SNO
sp|P99029|,200,SNO
sp|Q6PIC6|,49,SNO
sp|Q6PIC6|,221,SNO
sp|Q6PIC6|,546,SNO
sp|P99028|,35,SNO
sp|P99028|,51,SNO
sp|P99028|,65,SNO
sp|O08529|,405,SNO
sp|O08529|,640,SNO
sp|O08528|,368,SNO
sp|O08528|,375,SNO
sp|O08528|,386,SNO
sp|O08528|,438,SNO
sp|O08528|,517,SNO
sp|O08528|,794,SNO
sp|O08528|,909,SNO
sp|P13640|,34,SNO
sp|P13640|,35,SNO
sp|P13640|,37,SNO
sp|P13640|,38,SNO
sp|P13640|,42,SNO
sp|Q9NVM4|,262,SNO
sp|P21266|,208,SNO
sp|Q9D7P6|,70,SNO
sp|P02545|,522,SNO
sp|Q9D819|,242,SNO
sp|Q63886|,225,SNO
sp|Q63886|,282,SNO
sp|Q15369|,11,SNO
sp|Q9R062|,89,SNO
sp|P21283|,225,SNO
sp|Q64737|,41,SNO
sp|Q64737|,93,SNO
sp|Q64737|,134,SNO
sp|Q64737|,237,SNO
sp|Q64737|,298,SNO
sp|Q63880|,100,SNO
sp|Q91VD9|,64,SNO
sp|Q91VD9|,75,SNO
sp|Q91VD9|,92,SNO
sp|Q91VD9|,367,SNO
sp|Q91VD9|,463,SNO
sp|Q91VD9|,554,SNO
sp|Q91VD9|,564,SNO
sp|Q91VD9|,710,SNO
sp|Q91VD9|,727,SNO
sp|P27816|,635,SNO
sp|Q16222|,293,SNO
sp|P98192|,137,SNO
sp|P83941|,74,SNO
sp|P60843|,131,SNO
sp|P60843|,134,SNO
sp|P21278|,330,SNO
sp|P09528|,131,SNO
sp|P10518|,75,SNO
sp|P10518|,162,SNO
sp|P10518|,203,SNO
sp|P54577|,250,SNO
sp|P54577|,501,SNO
sp|P28288|,472,SNO
sp|P98156|,120,SNO
sp|Q940H6|,137,SNO
sp|Q6PE15|,116,SNO
sp|Q8K1A5|,44,SNO
sp|Q9CZN7|,343,SNO
sp|P41250|,466,SNO
sp|P41250|,471,SNO
sp|Q9JIX8|,1051,SNO
sp|Q60749|,19,SNO
sp|P46940|,1534,SNO
sp|P07356|,133,SNO
sp|P07356|,262,SNO
sp|P07355|,133,SNO
sp|P07355|,262,SNO
sp|Q67YC0|,98,SNO
sp|P56767|,559,SNO
sp|O94874|,708,SNO
sp|P35803|,226,SNO
sp|P35802|,192,SNO
sp|P29147|,221,SNO
sp|P08207|,62,SNO
sp|Q06413|,39,SNO
sp|Q02053|,234,SNO
sp|P19338|,543,SNO
sp|A2APY7|,98,SNO
sp|Q8BLQ9|,248,SNO
sp|Q9WTI7|,763,SNO
sp|Q9WTI7|,802,SNO
sp|Q60759|,176,SNO
sp|P09542|,85,SNO
sp|P09542|,191,SNO
sp|Q922Q4|,262,SNO
sp|P98170|,12,SNO
sp|P98170|,213,SNO
sp|P98170|,300,SNO
sp|P98170|,303,SNO
sp|P98170|,327,SNO
sp|P98170|,351,SNO
sp|P98170|,450,SNO
sp|Q9XF88|,136,SNO
sp|P42574|,163,SNO
sp|Q6PDN3|,1291,SNO
sp|P30101|,85,SNO
sp|P30101|,92,SNO
sp|P30101|,244,SNO
sp|Q91ZA3|,107,SNO
sp|Q91ZA3|,359,SNO
sp|Q91ZA3|,394,SNO
sp|Q8CGC7|,105,SNO
sp|Q8CGC7|,337,SNO
sp|Q8CGC7|,660,SNO
sp|Q8CGC7|,744,SNO
sp|Q8CGC7|,910,SNO
sp|Q8CGC7|,1377,SNO
sp|Q91V92|,20,SNO
sp|Q91V92|,623,SNO
sp|Q91V92|,835,SNO
sp|Q6A026|,1083,SNO
sp|Q9SCU7|,49,SNO
sp|Q9SCU7|,53,SNO
sp|P22953|,319,SNO
sp|Q13541|,62,SNO
sp|Q8WVD5|,82,SNO
sp|Q8WVD5|,174,SNO
sp|Q6NSR8|,284,SNO
sp|P28271|,165,SNO
sp|P34932|,245,SNO
sp|Q9UNE7|,199,SNO
sp|Q04207|,38,SNO
sp|Q91V80|,196,SNO
sp|P05161|,78,SNO
sp|P38060|,141,SNO
sp|P38060|,307,SNO
sp|Q91V83|,351,SNO
sp|P09525|,108,SNO
sp|Q9NZJ9|,131,SNO
sp|P50172|,78,SNO
sp|P50172|,241,SNO
sp|P50171|,39,SNO
sp|P50171|,192,SNO
sp|Q13557|,373,SNO
sp|O35295|,250,SNO
sp|Q9H2U2|,180,SNO
sp|P63005|,252,SNO
sp|Q9CRB2|,18,SNO
sp|Q9CZR8|,63,SNO
sp|Q9CZR8|,70,SNO
sp|Q9CZR8|,148,SNO
sp|Q9CZR8|,239,SNO
sp|Q9CZR8|,314,SNO
sp|P08246|,151,SNO
sp|Q9D7J4|,28,SNO
sp|Q9M5K2|,372,SNO
sp|O35286|,226,SNO
sp|P31001|,332,SNO
sp|P00738|,266,SNO
sp|P00738|,309,SNO
sp|P00738|,340,SNO
sp|P00738|,381,SNO
sp|Q05519|,79,SNO
sp|Q9CRA7|,96,SNO
sp|P63011|,184,SNO
sp|Q80YD1|,251,SNO
sp|Q80YD1|,418,SNO
sp|Q9Z2Z6|,58,SNO
sp|Q9Z2Z6|,136,SNO
sp|Q9Z2Z6|,155,SNO
sp|Q9Z2Z6|,283,SNO
sp|P09103|,314,SNO
sp|Q9D7I5|,53,SNO
sp|Q9D7I5|,226,SNO
sp|P63017|,17,SNO
sp|P63018|,574,SNO
sp|P63018|,603,SNO
sp|Q6R5N8|,527,SNO
sp|P12710|,69,SNO
sp|Q9EP69|,84,SNO
sp|Q9EP69|,445,SNO
sp|P78527|,25,SNO
sp|P78527|,478,SNO
sp|P78527|,795,SNO
sp|P78527|,1499,SNO
sp|P78527|,1507,SNO
sp|P78527|,2342,SNO
sp|P78527|,3187,SNO
sp|P78527|,3293,SNO
sp|P78527|,3347,SNO
sp|P78527|,4045,SNO
sp|P32322|,120,SNO
sp|P42125|,61,SNO
sp|P20337|,184,SNO
sp|P17174|,46,SNO
sp|Q6A068|,769,SNO
sp|Q9D7H3|,28,SNO
sp|P63028|,28,SNO
sp|P63028|,172,SNO
sp|O75716|,53,SNO
sp|P08228|,7,SNO
tr|Q9H2R8|,49,SNO
sp|P18031|,32,SNO
sp|P18031|,92,SNO
sp|Q6XPS3|,411,SNO
sp|Q06830|,71,SNO
sp|Q06830|,83,SNO
sp|P62192|,58,SNO
sp|P19367|,628,SNO
sp|P19367|,813,SNO
sp|P19367|,823,SNO
sp|Q60770|,558,SNO
sp|P35821|,215,SNO
sp|P67874|,109,SNO
sp|P67874|,114,SNO
sp|P63037|,302,SNO
sp|P47809|,244,SNO
sp|Q9HCS7|,66,SNO
sp|P00750|,118,SNO
sp|P63038|,237,SNO
sp|P08238|HS90B_HUMAN,412,SNO
sp|P63039|,442,SNO
sp|Q9ES28|,328,SNO
sp|P97461|,66,SNO
sp|P97461|,155,SNO
sp|Q9CQ48|,45,SNO
sp|Q92616|,1535,SNO
sp|O95433|,207,SNO
sp|P08839|,324,SNO
sp|Q921H8|,123,SNO
sp|Q921H8|,177,SNO
sp|Q921H8|,381,SNO
sp|O75822|,207,SNO
sp|Q921H9|,111,SNO
sp|Q9JLV5|,636,SNO
sp|Q9DC50|,210,SNO
sp|Q9Y2X3|,439,SNO
sp|Q9JLV1|,154,SNO
sp|Q9JLV1|,185,SNO
sp|Q9JLV1|,378,SNO
sp|O75828|,226,SNO
sp|O75828|,227,SNO
tr|Q7TMQ8|,242,SNO
sp|Q9CPR5|,8,SNO
sp|Q921G7|,100,SNO
sp|Q921G7|,117,SNO
sp|Q921G7|,247,SNO
sp|Q921G7|,265,SNO
sp|Q921G7|,386,SNO
sp|Q921G7|,560,SNO
sp|Q921G7|,585,SNO
sp|Q921G7|,588,SNO
sp|Q921G7|,591,SNO
sp|P97478|,137,SNO
sp|Q9CPR4|,15,SNO
sp|Q9CPR4|,57,SNO
sp|Q9CPR4|,144,SNO
sp|P52566|,76,SNO
sp|P42733|,59,SNO
sp|P21817|,35,SNO
sp|P21817|,252,SNO
sp|P21817|,314,SNO
sp|P21817|,810,SNO
sp|P21817|,905,SNO
sp|P21817|,1039,SNO
sp|P21817|,1302,SNO
sp|P21817|,1590,SNO
sp|P21817|,2326,SNO
sp|P21817|,2363,SNO
sp|P21817|,3193,SNO
sp|P21817|,3635,SNO
sp|P48039|,127,SNO
sp|P48039|,130,SNO
sp|Q92600|,91,SNO
sp|Q92600|,99,SNO
sp|Q6P2B1|,125,SNO
sp|P50396|,282,SNO
sp|Q921F2|,173,SNO
sp|P0AG44|,100,SNO
sp|P32921|,66,SNO
sp|Q9D1Q6|,92,SNO
sp|P97443|,74,SNO
sp|P97443|,90,SNO
sp|P97443|,417,SNO
sp|Q9UHP9|,38,SNO
sp|P97447|,65,SNO
sp|P97447|,71,SNO
sp|P97447|,255,SNO
sp|Q8C0M9|,219,SNO
sp|P15105|,49,SNO
sp|P15105|,99,SNO
sp|P15105|,183,SNO
sp|P15105|,209,SNO
sp|P15105|,269,SNO
sp|P15105|,346,SNO
sp|P15105|,359,SNO
sp|Q9Y2Z0|,88,SNO
sp|P05793|,45,SNO
sp|Q9CPP6|,17,SNO
sp|Q9D1P4|,59,SNO
sp|Q8WTY4|,92,SNO
sp|O00299|,59,SNO
sp|O00299|,178,SNO
sp|D3ZUQ0|,47,SNO
sp|Q6UB35|,814,SNO
sp|Q9JHK4|,99,SNO
sp|O60313|,801,SNO
sp|P15121|,299,SNO
sp|Q9UI32|,136,SNO
sp|Q99KC8|,279,SNO
sp|Q99KC8|,374,SNO
sp|Q9UI30|,33,SNO
sp|P29758|,150,SNO
sp|Q9Y2S7|,143,SNO
sp|P51660|,175,SNO
sp|P51660|,189,SNO
sp|P51660|,277,SNO
sp|Q9Z1N5|,239,SNO
sp|O70572|,176,SNO
sp|O70572|,411,SNO
sp|B2RQC6|,280,SNO
sp|B2RQC6|,897,SNO
sp|B2RQC6|,2092,SNO
sp|O00220|,336,SNO
sp|A2A432|,694,SNO
sp|Q9D289|,149,SNO
sp|P97429|,198,SNO
sp|P40124|,29,SNO
sp|P40124|,415,SNO
sp|A8C756|,1910,SNO
sp|Q9JHR7|,414,SNO
sp|Q9JHR7|,904,SNO
sp|P84103|,6,SNO
sp|P84103|,10,SNO
sp|P62317|,63,SNO
sp|Q9DBX3|,748,SNO
sp|Q9DBX3|,762,SNO
sp|Q9JLZ3|,113,SNO
sp|P27169|,284,SNO
sp|Q80X90|,991,SNO
sp|Q80X90|,1280,SNO
sp|Q80X90|,1326,SNO
sp|Q80X90|,1434,SNO
sp|Q80X90|,1868,SNO
sp|Q80X90|,2057,SNO
sp|Q80X90|,2115,SNO
sp|Q80X90|,2289,SNO
sp|Q8R0F8|,68,SNO
sp|Q8R0F8|,132,SNO
sp|Q66HA8|,34,SNO
sp|O00231|,289,SNO
sp|Q9CPV4|,41,SNO
sp|Q9D273|,179,SNO
sp|Q99P30|,223,SNO
sp|O00232|,255,SNO
sp|Q8R0F9|,128,SNO
sp|Q8R0F9|,135,SNO
sp|Q8R0F9|,355,SNO
sp|Q9CQ75|,24,SNO
sp|Q9CQ75|,58,SNO
sp|P19536|,90,SNO
sp|P19536|,92,SNO
sp|P19536|,97,SNO
sp|P19536|,112,SNO
sp|P19536|,115,SNO
sp|Q8BGC4|,55,SNO
sp|Q8BGC4|,218,SNO
sp|P18206|,85,SNO
sp|P18206|,1053,SNO
sp|P62320|,20,SNO
sp|Q8BP47|,125,SNO
sp|Q8BP47|,277,SNO
sp|Q8BP47|,522,SNO
sp|Q8BP48|,174,SNO
sp|Q99KI0|,126,SNO
sp|Q99KI0|,385,SNO
sp|Q99KI0|,410,SNO
sp|Q99KI0|,448,SNO
